year,ceremony,award,nominee,winner,movieName,filmInfo
2016,89,Best Picture,1,0,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers"
2016,89,Best Picture,1,0,Fences,"Scott Rudin, Denzel Washington and Todd Black, Producers"
2016,89,Best Picture,1,0,Hacksaw Ridge,"Bill Mechanic and David Permut, Producers"
2016,89,Best Picture,1,0,Hell or High Water,"Carla Hacken and Julie Yorn, Producers"
2016,89,Best Picture,1,0,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers"
2016,89,Best Picture,1,0,La La Land,"Fred Berger, Jordan Horowitz and Marc Platt, Producers"
2016,89,Best Picture,1,0,Lion,"Emile Sherman, Iain Canning and Angie Fielder, Producers"
2016,89,Best Picture,1,0,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers"
2016,89,Best Picture,1,1,Moonlight,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers"
2017,90,Best Picture,1,0,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers"
2017,90,Best Picture,1,0,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers"
2017,90,Best Picture,1,0,Dunkirk,"Emma Thomas and Christopher Nolan, Producers"
2017,90,Best Picture,1,0,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers"
2017,90,Best Picture,1,0,Lady Bird,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers"
2017,90,Best Picture,1,0,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers"
2017,90,Best Picture,1,0,The Post,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers"
2017,90,Best Picture,1,1,The Shape of Water,"Guillermo del Toro and J. Miles Dale, Producers"
2017,90,Best Picture,1,0,"Three Billboards outside Ebbing, Missouri","Graham Broadbent, Pete Czernin and Martin McDonagh, Producers"
2018,91,Best Picture,1,0,Black Panther,"Kevin Feige, Producer"
2018,91,Best Picture,1,0,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers"
2018,91,Best Picture,1,0,Bohemian Rhapsody,"Graham King, Producer"
2018,91,Best Picture,1,0,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers"
2018,91,Best Picture,1,1,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers"
2018,91,Best Picture,1,0,Roma,"Gabriela Rodríguez and Alfonso Cuarón, Producers"
2018,91,Best Picture,1,0,A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers"
2018,91,Best Picture,1,0,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers"
2019,92,Best Picture,1,0,Ford v Ferrari,"Peter Chernin, Jenno Topping and James Mangold, Producers"
2019,92,Best Picture,1,0,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers"
2019,92,Best Picture,1,0,Jojo Rabbit,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers"
2019,92,Best Picture,1,0,Joker,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers"
2019,92,Best Picture,1,0,Little Women,"Amy Pascal, Producer"
2019,92,Best Picture,1,0,Marriage Story,"Noah Baumbach and David Heyman, Producers"
2019,92,Best Picture,1,0,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers"
2019,92,Best Picture,1,0,Once upon a Time...in Hollywood,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers"
2019,92,Best Picture,1,1,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers"
